P80192	P80192
Q00534	Q00534
Q00534	P11802
Q02763	Q02763
Q04759	Q04759
Q04771	Q04771
Q04912	Q04912
Q05397	Q05397
Q07912	Q07912
Q08881	Q08881
Q12866	Q12866
Q13131	Q13131
Q13131	P54646
Q13153	Q13153
Q13188	Q13188
Q13554	Q13554
Q13554	Q13555
Q13554	Q13557
Q13554	Q9UQM7
Q13627	Q13627
Q13882	Q13882
Q13976	Q13976
Q14289	Q14289
Q14680	Q14680
Q15303	Q15303
Q15303	P00533
Q16288	Q16288
Q16288	P04629
Q16288	Q16620
Q16513	Q16513
Q16513	Q16512
Q16566	Q16566
Q16644	Q16644
Q7KZI7	Q7KZI7
Q7KZI7	P27448
Q8IU85	Q8IU85
Q8IU85	Q14012
Q96KB5	Q96KB5
Q96L34	Q96L34
Q96RG2	Q96RG2
Q96RR4	Q96RR4
Q96SB4	Q96SB4
Q99683	Q99683
Q9BUB5	Q9BUB5
Q9H2G2	Q9H2G2
Q9H2X6	Q9H2X6
Q9H4B4	Q9H4B4
Q9HBH9	Q9HBH9
Q9NWZ3	Q9NWZ3
Q9NYL2	Q9NYL2
Q9P1W9	Q9P1W9
Q9P289	Q9P289
Q9UHD2	Q9UHD2
Q9UM73	Q9UM73
Q9Y6M4	Q9Y6M4
Q9Y6M4	P78368
Q9Y6M4	Q9HCP0
O00141	O00141
O00311	O00311
O00444	O00444
O14757	O14757
O14920	O14920
O14965	O14965
O14965	Q96GD4
O15075	O15075
O15111	O15111
O15530	O15530
O43293	O43293
O43781	O43781
O60674	O60674
O60674	P52333
O75116	O75116
O75116	Q13464
O75582	O75582
O95819	O95819
O96013	O96013
O96017	O96017
P04626	P04626
P06213	P06213
P06213	P08069
P06241	P06241
P07332	P07332
P07333	P07333
P07949	P07949
P08581	P08581
P08631	P08631
P08631	P06239
P08631	P07948
P08922	P08922
P10721	P10721
P11309	P11309
P11362	P11362
P11362	P21802
P11362	P22455
P11362	P22607
P12931	P12931
P15056	P15056
P15056	P04049
P15735	P15735
P16234	P16234
P17252	P17252
P17252	P05771
P17612	P17612
P17948	P17948
P23443	P23443
P23458	P23458
P24723	P24723
P24941	P24941
P24941	P06493
P24941	Q00535
P27361	P27361
P27361	P28482
P29317	P29317
P29323	P29323
P29323	P54760
P29597	P29597
P30291	P30291
P30530	P30530
P31751	P31751
P31751	P31749
P34947	P34947
P35968	P35968
P36507	P36507
P36507	Q02750
P36888	P36888
P41240	P41240
P41279	P41279
P41743	P41743
P42684	P42684
P42684	P00519
P43405	P43405
P43405	P43403
P49137	P49137
P49336	P49336
P49674	P49674
P49674	P48729
P49674	P48730
P49760	P49760
P49760	P49759
P49760	Q9HAZ1
P49841	P49841
P50613	P50613
P50750	P50750
P51617	P51617
P51812	P51812
P51813	P51813
P51813	Q06187
P51955	P51955
P52564	P52564
P53350	P53350
P53667	P53667
P53778	P53778
P53778	Q15759
P53778	Q16539
P53778	O15264
P53779	P53779
P53779	P45983
P53779	P45984
P68400	P68400
P68400	P19784
